Soort;Naam;Beschrijving;Locatie;Latitude;Longitude
Tramhalte;Tramhalte Dapperstraat;Lijn 1 | 3;Dapperstraat;52.361019;4.929368
Tramhalte;Tramhalte Meer en Vaart;Lijn 1 | 17;Meer en Vaart;52.356401;4.810137
Tramhalte;Tramhalte Derkinderenstraat;Lijn 1 | 17;Derkinderenstraat;52.357957;4.840032
Tramhalte;Tramhalte Corantijnstraat;Lijn 17;Corantijnstraat;52.361472;4.853279
Tramhalte;Tramhalte Postjesweg / Hoofdweg;Lijn 7 | 17;Postjesweg / Hoofdweg;52.364245;4.8534365
Tramhalte;Tramhalte Ten Katestraat;Lijn 7 | 17;Ten Katestraat;52.365975;4.867544
Tramhalte;Tramhalte Kinkerstraat / Bilderdijkstraat;Lijn 3 | 7 | 17;Kinkerstraat / Bilderdijkstraat;52.367246;4.872164
Tramhalte;Tramhalte Leidseplein;Lijn 1 | 2 | 5 | 7 | 12 | 19;Leidseplein;52.363775;4.882348
Tramhalte;Tramhalte Ecuplein;Lijn 1;Ecuplein;52.349776;4.788597
Tramhalte;Tramhalte J.P. Heijestraat;Lijn 1;J.P. Heijestraat;52.360454;4.866245
Tramhalte;Tramhalte Van Hallstraat;Lijn 3;Van Hallstraat;52.384237;4.869865
Tramhalte;Tramhalte Nieuwe Willemsstraat;Lijn 5;Nieuwe Willemsstraat;52.381498;4.881058
Tramhalte;Tramhalte Azartplein;Lijn 7;Azartplein;52.376743;4.937331
Tramhalte;Tramhalte Plein `40-`45;Lijn 7;Plein `40-`45;52.381325;4.821459
Tramhalte;Tramhalte Van Limburg Stirumstraat;Lijn 3;Van Limburg Stirumstraat;52.384362;4.875041
Tramhalte;Tramhalte Eerste Coehoornstraat;Lijn 7;Eerste Coehoornstraat;52.368273;4.926459
Tramhalte;Tramhalte C. van Eesterenlaan;Lijn 7;C. van Eesterenlaan;52.373506;4.938455
Tramhalte;Tramhalte K. `s-Gravesandestraat;Lijn 1 | 7 | 19;K. `s-Gravesandestraat;52.362487;4.91432
Tramhalte;Tramhalte Vijzelgracht /Weteringcircuit;Lijn 1 | 7 | 19 | 24 | 52;Vijzelgracht /Weteringcircuit;52.359632;4.890943
Tramhalte;Tramhalte Spiegelgracht;Lijn 1 | 7 | 19;Spiegelgracht;52.360889;4.887257
Tramhalte;Tramhalte Haarlemmerplein;Lijn _;Haarlemmerplein;52.385044;4.883588
Tramhalte;Tramhalte De Wittenkade;Lijn 3;De Wittenkade;52.383185;4.877048
Tramhalte;Tramhalte Nassaukade;Lijn 3;Nassaukade;52.38114;4.879189
Tramhalte;Tramhalte Alexanderplein;Lijn 7 | 14 | 19;Alexanderplein;52.363606;4.918929
Tramhalte;Tramhalte Hoogte Kadijk;Lijn 7;Hoogte Kadijk;52.366772;4.924559
Tramhalte;Tramhalte Eerste Leeghwaterstraat;Lijn 7;Eerste Leeghwaterstraat;52.370258;4.929691
Tramhalte;Tramhalte Rietlandpark;Lijn 7 | 26;Rietlandpark;52.372899;4.934361
Tramhalte;Tramhalte Willem de Zwijerlaan;Lijn 13 | 19;Willem de Zwijerlaan;52.370537;4.863925
Tramhalte;Tramhalte De Pijp;Lijn 3 | 12 | 24 | 52;De Pijp;52.35279;4.891107
Tramhalte;Tramhalte Wiltzanghlaan;Lijn 19;Wiltzanghlaan;52.382574;4.851309
Tramhalte;Tramhalte Molenwerf;Lijn 19;Molenwerf;52.385888;4.846416
Tramhalte;Tramhalte Scheldestraat;Lijn 12;Scheldestraat;52.347345;4.891162
Tramhalte;Tramhalte Europaplein;Lijn 4 | 52;Europaplein;52.340218;4.891987
Tramhalte;Tramhalte Waalstraat;Lijn 4;Waalstraat;52.344529;4.900811
Tramhalte;Tramhalte Maasstraat;Lijn 4;Maasstraat;52.342999;4.89659
Tramhalte;Tramhalte Dintelstraat;Lijn 4;Dintelstraat;52.34191;4.89304
Tramhalte;Tramhalte Amstelveen Stadshart;Lijn 5;Amstelveen Stadshart;52.301255;4.867279
Tramhalte;Tramhalte Marco Polostraat;Lijn 13;Marco Polostraat;52.37092;4.85536
Tramhalte;Tramhalte Jan van Galenstraat;Lijn 19;Jan van Galenstraat;52.37469;4.85856
Tramhalte;Tramhalte Rozengracht / Marnixstraat;Lijn 5 | 13 | 17 | 19;Rozengracht / Marnixstraat;52.37218;4.875884
Tramhalte;Tramhalte Roelof Hartplein;Lijn 3 | 5 | 12 | 24;Roelof Hartplein;52.352858;4.882355
Tramhalte;Tramhalte Bos en Lommerweg;Lijn 19;Bos en Lommerweg;52.380563;4.854869
Tramhalte;Tramhalte Maasstraat;Lijn 12;Maasstraat;52.346939;4.895126
Tramhalte;Tramhalte Waalstraat;Lijn 12;Waalstraat;52.346697;4.899972
Tramhalte;Tramhalte Cornelis Troostplein;Lijn 12;Cornelis Troostplein;52.350197;4.891543
Tramhalte;Tramhalte Dam / Paleisstraat;Lijn 2 | 12 | 13 | 17;Dam / Paleisstraat;52.373161;4.890512
Tramhalte;Tramhalte Burg. Van Leeuwenlaan;Lijn 13;Burg. Van Leeuwenlaan;52.376429;4.812448
Tramhalte;Tramhalte Burg. Fockstraat;Lijn 7;Burg. Fockstraat;52.379721;4.832243
Tramhalte;Tramhalte Burg.Eliasstraat;Lijn 7;Burg.Eliasstraat;52.380571;4.826824
Tramhalte;Tramhalte Burg. Rendorpstraat;Lijn 13;Burg. Rendorpstraat;52.374411;4.827313
Tramhalte;Tramhalte Admiraal Helfrichstraat;Lijn 13;Admiraal Helfrichstraat;52.369434;4.844117
Tramhalte;Tramhalte Dr. H. Colijnstraat;Lijn 13;Dr. H. Colijnstraat;52.376945;4.806463
Tramhalte;Tramhalte Lambertus Zijlplein;Lijn 13;Lambertus Zijlplein;52.377261;4.803269
Tramhalte;Tramhalte Mercatorplein;Lijn 7 | 13;Mercatorplein;52.370039;4.850261
Tramhalte;Tramhalte Jan Voermanstraat;Lijn 13;Jan Voermanstraat;52.369648;4.838204
Tramhalte;Tramhalte Sloterpark;Lijn 7;Sloterpark;52.372849;4.818873
Tramhalte;Tramhalte Rembrandtplein;Lijn 4 | 14;Rembrandtplein;52.366244;4.896573
Tramhalte;Tramhalte Artis;Lijn 14;Artis;52.366628;4.91117
